Nodes: 800	Edges: 207505
Node: 1	Degree: 524	NeighbourhoodDegree: 272060
Node: 2	Degree: 520	NeighbourhoodDegree: 270187
Node: 3	Degree: 529	NeighbourhoodDegree: 274824
Node: 4	Degree: 502	NeighbourhoodDegree: 260407
Node: 5	Degree: 515	NeighbourhoodDegree: 267693
Node: 6	Degree: 539	NeighbourhoodDegree: 279650
Node: 7	Degree: 526	NeighbourhoodDegree: 272901
Node: 8	Degree: 519	NeighbourhoodDegree: 269500
Node: 9	Degree: 510	NeighbourhoodDegree: 264580
Node: 10	Degree: 519	NeighbourhoodDegree: 269355
Node: 11	Degree: 499	NeighbourhoodDegree: 259072
Node: 12	Degree: 541	NeighbourhoodDegree: 280614
Node: 13	Degree: 525	NeighbourhoodDegree: 272393
Node: 14	Degree: 551	NeighbourhoodDegree: 286130
Node: 15	Degree: 525	NeighbourhoodDegree: 272626
Node: 16	Degree: 520	NeighbourhoodDegree: 269947
Node: 17	Degree: 492	NeighbourhoodDegree: 255379
Node: 18	Degree: 515	NeighbourhoodDegree: 267108
Node: 19	Degree: 525	NeighbourhoodDegree: 272448
Node: 20	Degree: 502	NeighbourhoodDegree: 260369
Node: 21	Degree: 533	NeighbourhoodDegree: 276716
Node: 22	Degree: 530	NeighbourhoodDegree: 275078
Node: 23	Degree: 519	NeighbourhoodDegree: 269671
Node: 24	Degree: 533	NeighbourhoodDegree: 276400
Node: 25	Degree: 525	NeighbourhoodDegree: 272698
Node: 26	Degree: 506	NeighbourhoodDegree: 262480
Node: 27	Degree: 526	NeighbourhoodDegree: 273180
Node: 28	Degree: 524	NeighbourhoodDegree: 272140
Node: 29	Degree: 496	NeighbourhoodDegree: 257386
Node: 30	Degree: 498	NeighbourhoodDegree: 258461
Node: 31	Degree: 526	NeighbourhoodDegree: 272971
Node: 32	Degree: 508	NeighbourhoodDegree: 264016
Node: 33	Degree: 501	NeighbourhoodDegree: 260353
Node: 34	Degree: 503	NeighbourhoodDegree: 261061
Node: 35	Degree: 536	NeighbourhoodDegree: 278557
Node: 36	Degree: 524	NeighbourhoodDegree: 271815
Node: 37	Degree: 512	NeighbourhoodDegree: 265689
Node: 38	Degree: 515	NeighbourhoodDegree: 267199
Node: 39	Degree: 531	NeighbourhoodDegree: 275384
Node: 40	Degree: 513	NeighbourhoodDegree: 266504
Node: 41	Degree: 520	NeighbourhoodDegree: 269904
Node: 42	Degree: 499	NeighbourhoodDegree: 259022
Node: 43	Degree: 514	NeighbourhoodDegree: 266968
Node: 44	Degree: 488	NeighbourhoodDegree: 253214
Node: 45	Degree: 499	NeighbourhoodDegree: 259169
Node: 46	Degree: 522	NeighbourhoodDegree: 271005
Node: 47	Degree: 530	NeighbourhoodDegree: 275345
Node: 48	Degree: 509	NeighbourhoodDegree: 264166
Node: 49	Degree: 518	NeighbourhoodDegree: 268838
Node: 50	Degree: 502	NeighbourhoodDegree: 260404
Node: 51	Degree: 527	NeighbourhoodDegree: 273629
Node: 52	Degree: 537	NeighbourhoodDegree: 278696
Node: 53	Degree: 508	NeighbourhoodDegree: 263829
Node: 54	Degree: 512	NeighbourhoodDegree: 265839
Node: 55	Degree: 505	NeighbourhoodDegree: 262211
Node: 56	Degree: 517	NeighbourhoodDegree: 268583
Node: 57	Degree: 518	NeighbourhoodDegree: 268753
Node: 58	Degree: 523	NeighbourhoodDegree: 271467
Node: 59	Degree: 523	NeighbourhoodDegree: 271670
Node: 60	Degree: 502	NeighbourhoodDegree: 260801
Node: 61	Degree: 492	NeighbourhoodDegree: 255350
Node: 62	Degree: 528	NeighbourhoodDegree: 274033
Node: 63	Degree: 514	NeighbourhoodDegree: 266608
Node: 64	Degree: 535	NeighbourhoodDegree: 277634
Node: 65	Degree: 518	NeighbourhoodDegree: 268848
Node: 66	Degree: 522	NeighbourhoodDegree: 270717
Node: 67	Degree: 511	NeighbourhoodDegree: 265264
Node: 68	Degree: 511	NeighbourhoodDegree: 265173
Node: 69	Degree: 503	NeighbourhoodDegree: 260972
Node: 70	Degree: 520	NeighbourhoodDegree: 270122
Node: 71	Degree: 522	NeighbourhoodDegree: 271283
Node: 72	Degree: 516	NeighbourhoodDegree: 267941
Node: 73	Degree: 513	NeighbourhoodDegree: 266340
Node: 74	Degree: 511	NeighbourhoodDegree: 265192
Node: 75	Degree: 526	NeighbourhoodDegree: 273148
Node: 76	Degree: 525	NeighbourhoodDegree: 272718
Node: 77	Degree: 525	NeighbourhoodDegree: 272508
Node: 78	Degree: 509	NeighbourhoodDegree: 264300
Node: 79	Degree: 525	NeighbourhoodDegree: 272466
Node: 80	Degree: 522	NeighbourhoodDegree: 270861
Node: 81	Degree: 511	NeighbourhoodDegree: 265369
Node: 82	Degree: 528	NeighbourhoodDegree: 273977
Node: 83	Degree: 493	NeighbourhoodDegree: 255987
Node: 84	Degree: 508	NeighbourhoodDegree: 263485
Node: 85	Degree: 514	NeighbourhoodDegree: 266620
Node: 86	Degree: 517	NeighbourhoodDegree: 268352
Node: 87	Degree: 529	NeighbourhoodDegree: 274348
Node: 88	Degree: 524	NeighbourhoodDegree: 272157
Node: 89	Degree: 527	NeighbourhoodDegree: 273492
Node: 90	Degree: 508	NeighbourhoodDegree: 263787
Node: 91	Degree: 524	NeighbourhoodDegree: 272043
Node: 92	Degree: 541	NeighbourhoodDegree: 280553
Node: 93	Degree: 529	NeighbourhoodDegree: 274427
Node: 94	Degree: 513	NeighbourhoodDegree: 266538
Node: 95	Degree: 494	NeighbourhoodDegree: 256196
Node: 96	Degree: 520	NeighbourhoodDegree: 269638
Node: 97	Degree: 518	NeighbourhoodDegree: 268923
Node: 98	Degree: 509	NeighbourhoodDegree: 264239
Node: 99	Degree: 532	NeighbourhoodDegree: 276421
Node: 100	Degree: 533	NeighbourhoodDegree: 276722
Node: 101	Degree: 519	NeighbourhoodDegree: 269427
Node: 102	Degree: 536	NeighbourhoodDegree: 277869
Node: 103	Degree: 505	NeighbourhoodDegree: 262547
Node: 104	Degree: 502	NeighbourhoodDegree: 260549
Node: 105	Degree: 536	NeighbourhoodDegree: 278466
Node: 106	Degree: 505	NeighbourhoodDegree: 262086
Node: 107	Degree: 528	NeighbourhoodDegree: 273947
Node: 108	Degree: 532	NeighbourhoodDegree: 275808
Node: 109	Degree: 511	NeighbourhoodDegree: 265412
Node: 110	Degree: 522	NeighbourhoodDegree: 271327
Node: 111	Degree: 524	NeighbourhoodDegree: 271569
Node: 112	Degree: 531	NeighbourhoodDegree: 275871
Node: 113	Degree: 517	NeighbourhoodDegree: 268330
Node: 114	Degree: 535	NeighbourhoodDegree: 277547
Node: 115	Degree: 520	NeighbourhoodDegree: 270270
Node: 116	Degree: 519	NeighbourhoodDegree: 269328
Node: 117	Degree: 530	NeighbourhoodDegree: 274971
Node: 118	Degree: 526	NeighbourhoodDegree: 272940
Node: 119	Degree: 497	NeighbourhoodDegree: 258219
